,Agent,Monster,Tree2,Tree7,Tree12,Tree17,Tree22
1200,16.0,18.0,2.0,0.0,0.0,0.0,0.0
1201,11.0,23.0,2.0,2.0,1.0,0.0,2.0
1202,15.0,18.0,1.0,2.0,1.0,1.0,1.0
1203,0.0,4.0,2.0,0.0,2.0,1.0,2.0
1204,21.0,23.0,2.0,2.0,1.0,0.0,0.0
1205,1.0,3.0,1.0,2.0,1.0,1.0,2.0
1206,6.0,8.0,1.0,0.0,2.0,0.0,0.0
1207,5.0,9.0,2.0,0.0,2.0,1.0,2.0
1208,0.0,3.0,0.0,0.0,1.0,0.0,2.0
1209,11.0,13.0,1.0,2.0,0.0,1.0,0.0
1210,11.0,13.0,2.0,0.0,0.0,2.0,0.0
1211,6.0,8.0,1.0,0.0,0.0,1.0,0.0
1212,6.0,8.0,1.0,0.0,0.0,0.0,0.0
1213,11.0,8.0,2.0,1.0,0.0,2.0,1.0
1214,6.0,8.0,0.0,0.0,2.0,0.0,0.0
1215,20.0,23.0,2.0,2.0,2.0,1.0,2.0
1216,16.0,23.0,1.0,2.0,2.0,0.0,2.0
1217,5.0,4.0,0.0,2.0,1.0,1.0,2.0
1218,6.0,9.0,1.0,0.0,2.0,1.0,1.0
1219,6.0,8.0,0.0,0.0,1.0,0.0,1.0
1220,6.0,9.0,2.0,0.0,2.0,1.0,1.0
1221,16.0,19.0,2.0,2.0,1.0,0.0,2.0
1222,1.0,4.0,0.0,1.0,2.0,1.0,2.0
1223,5.0,3.0,1.0,0.0,2.0,1.0,1.0
1224,6.0,3.0,2.0,2.0,0.0,0.0,1.0
1225,11.0,13.0,1.0,1.0,1.0,0.0,2.0
1226,15.0,18.0,0.0,1.0,1.0,0.0,1.0
1227,16.0,23.0,0.0,2.0,2.0,2.0,0.0
1228,6.0,9.0,1.0,2.0,2.0,0.0,2.0
1229,11.0,13.0,0.0,1.0,0.0,1.0,1.0
1230,6.0,3.0,1.0,1.0,1.0,2.0,1.0
1231,16.0,18.0,2.0,2.0,2.0,0.0,2.0
1232,16.0,19.0,0.0,2.0,2.0,0.0,0.0
1233,15.0,18.0,1.0,1.0,1.0,1.0,0.0
1234,6.0,8.0,2.0,1.0,1.0,1.0,1.0
1235,11.0,13.0,1.0,0.0,1.0,0.0,2.0
1236,6.0,3.0,0.0,1.0,1.0,1.0,1.0
1237,6.0,3.0,2.0,2.0,2.0,1.0,2.0
1238,6.0,3.0,0.0,1.0,2.0,2.0,1.0
1239,15.0,19.0,2.0,2.0,0.0,1.0,0.0
1240,11.0,13.0,2.0,2.0,0.0,1.0,1.0
1241,6.0,8.0,1.0,0.0,1.0,2.0,2.0
1242,16.0,18.0,2.0,1.0,0.0,0.0,1.0
1243,6.0,8.0,2.0,0.0,0.0,1.0,0.0
1244,6.0,8.0,1.0,1.0,1.0,2.0,1.0
1245,1.0,4.0,0.0,0.0,0.0,0.0,0.0
