Fact id,Fact,SF,Fact_readable,SF_readable,Fact actions,Recourse,uncertainty,fidelity,sparsity,num_cfs,exceptionality,Value,Found
653,"[11.0, 13.0, 0.0, 2.0, 0.0, 1.0, 2.0]","[15.0, 13.0, 0.0, 2.0, 0.0, 1.0, 2.0]","Agent: 11.0 Monster: 13.0 Trees: [{7: 2}, {17: 1}, {22: 2}]","Agent: 15.0 Monster: 13.0 Trees: [{7: 2}, {17: 1}, {22: 2}]","[3, 3, 4]","[2, 2, 3]",0.1,0.25924599915742874,1.0,False,1.0,0,1
667,"[16.0, 19.0, 1.0, 2.0, 2.0, 0.0, 0.0]","[21.0, 19.0, 1.0, 2.0, 2.0, 0.0, 0.0]","Agent: 16.0 Monster: 19.0 Trees: [{2: 1}, {7: 2}, {12: 2}]","Agent: 21.0 Monster: 19.0 Trees: [{2: 1}, {7: 2}, {12: 2}]","[1, 1, 4]","[1, 0, 4]",0.1,0.012082466778034965,1.0,False,1.0,0,1
760,"[11.0, 13.0, 0.0, 1.0, 2.0, 2.0, 0.0]","[0.0, 13.0, 0.0, 1.0, 2.0, 2.0, 0.0]","Agent: 11.0 Monster: 13.0 Trees: [{7: 1}, {12: 2}, {17: 2}]","Agent: 0.0 Monster: 13.0 Trees: [{7: 1}, {12: 2}, {17: 2}]","[3, 0, 3]","[2, 3, 3]",0.2,0.0505448654294014,1.0,False,0.7222222222222223,0,1
779,"[11.0, 14.0, 2.0, 1.0, 2.0, 1.0, 1.0]","[21.0, 14.0, 2.0, 1.0, 2.0, 1.0, 1.0]","Agent: 11.0 Monster: 14.0 Trees: [{2: 2}, {7: 1}, {12: 2}, {17: 1}, {22: 1}]","Agent: 21.0 Monster: 14.0 Trees: [{2: 2}, {7: 1}, {12: 2}, {17: 1}, {22: 1}]","[1, 1, 0]","[1, 1, 0]",1.0,0.08175544316569965,1.0,False,1.0,0,1
797,"[11.0, 4.0, 1.0, 1.0, 2.0, 2.0, 0.0]","[1.0, 4.0, 1.0, 1.0, 2.0, 2.0, 0.0]","Agent: 11.0 Monster: 4.0 Trees: [{2: 1}, {7: 1}, {12: 2}, {17: 2}]","Agent: 1.0 Monster: 4.0 Trees: [{2: 1}, {7: 1}, {12: 2}, {17: 2}]","[3, 3, 0]","[3, 4, 3]",0.1,0.4716044639547666,1.0,False,0.7777777777777777,0,1
800,"[6.0, 9.0, 1.0, 0.0, 1.0, 2.0, 2.0]","[15.0, 9.0, 1.0, 0.0, 1.0, 2.0, 2.0]","Agent: 6.0 Monster: 9.0 Trees: [{2: 1}, {12: 1}, {17: 2}, {22: 2}]","Agent: 15.0 Monster: 9.0 Trees: [{2: 1}, {12: 1}, {17: 2}, {22: 2}]","[1, 0, 4]","[1, 1, 2]",0.5,0.03453340629736582,1.0,False,0.6805555555555557,0,1
837,"[6.0, 9.0, 1.0, 2.0, 0.0, 1.0, 0.0]","[11.0, 9.0, 1.0, 2.0, 0.0, 1.0, 0.0]","Agent: 6.0 Monster: 9.0 Trees: [{2: 1}, {7: 2}, {17: 1}]","Agent: 11.0 Monster: 9.0 Trees: [{2: 1}, {7: 2}, {17: 1}]","[3, 3, 3]","[0, 1, 4]",0.6,0.1227452519039313,1.0,False,1.0,0,1
837,"[6.0, 9.0, 1.0, 2.0, 0.0, 1.0, 0.0]","[11.0, 9.0, 1.0, 2.0, 0.0, 1.0, 0.0]","Agent: 6.0 Monster: 9.0 Trees: [{2: 1}, {7: 2}, {17: 1}]","Agent: 11.0 Monster: 9.0 Trees: [{2: 1}, {7: 2}, {17: 1}]","[3, 3, 3]","[3, 3, 5]",0.2,0.3515069925536712,1.0,False,1.0,0,1
851,"[6.0, 9.0, 0.0, 0.0, 1.0, 2.0, 1.0]","[5.0, 9.0, 0.0, 0.0, 1.0, 2.0, 1.0]","Agent: 6.0 Monster: 9.0 Trees: [{12: 1}, {17: 2}, {22: 1}]","Agent: 5.0 Monster: 9.0 Trees: [{12: 1}, {17: 2}, {22: 1}]","[3, 3, 3]","[2, 2, 2]",0.3,0.09090412656466167,1.0,False,1.0,0,1
873,"[1.0, 3.0, 1.0, 2.0, 1.0, 0.0, 1.0]","[5.0, 3.0, 1.0, 2.0, 1.0, 0.0, 1.0]","Agent: 1.0 Monster: 3.0 Trees: [{2: 1}, {7: 2}, {12: 1}, {22: 1}]","Agent: 5.0 Monster: 3.0 Trees: [{2: 1}, {7: 2}, {12: 1}, {22: 1}]","[3, 3, 0]","[1, 2, 5]",0.5,0.0130215899941201,1.0,False,1.0,0,1
