Fact id,Fact,SF,Fact_readable,SF_readable,Fact actions,Recourse,sparsity,fidelity,exceptionality,uncertainty,num_cfs,Value,Found
1882,"[6.0, 8.0, 2.0, 0.0, 0.0, 2.0, 1.0]","[5.0, 8.0, 2.0, 0.0, 0.0, 2.0, 1.0]","Agent: 6.0 Monster: 8.0 Trees: [{2: 2}, {17: 2}, {22: 1}]","Agent: 5.0 Monster: 8.0 Trees: [{2: 2}, {17: 2}, {22: 1}]","[3, 3, 4]","[2, -1, -1]",0.3333333333333333,0.07864686101675034,1.0,0.7,False,0,1
1900,"[16.0, 18.0, 2.0, 2.0, 1.0, 0.0, 2.0]","[6.0, 18.0, 2.0, 2.0, 1.0, 0.0, 2.0]","Agent: 16.0 Monster: 18.0 Trees: [{2: 2}, {7: 2}, {12: 1}, {22: 2}]","Agent: 6.0 Monster: 18.0 Trees: [{2: 2}, {7: 2}, {12: 1}, {22: 2}]","[1, 0, 4]","[3, 3, 0]",1.0,0.0658092771967252,0.7017543859649122,0.5,False,0,1
1900,"[16.0, 18.0, 2.0, 2.0, 1.0, 0.0, 2.0]","[11.0, 18.0, 2.0, 2.0, 1.0, 0.0, 2.0]","Agent: 16.0 Monster: 18.0 Trees: [{2: 2}, {7: 2}, {12: 1}, {22: 2}]","Agent: 11.0 Monster: 18.0 Trees: [{2: 2}, {7: 2}, {12: 1}, {22: 2}]","[1, 0, 4]","[3, 3, 1]",1.0,0.257634200155735,0.7017543859649122,0.5,False,0,1
1900,"[16.0, 18.0, 2.0, 2.0, 1.0, 0.0, 2.0]","[1.0, 18.0, 2.0, 2.0, 1.0, 0.0, 2.0]","Agent: 16.0 Monster: 18.0 Trees: [{2: 2}, {7: 2}, {12: 1}, {22: 2}]","Agent: 1.0 Monster: 18.0 Trees: [{2: 2}, {7: 2}, {12: 1}, {22: 2}]","[1, 0, 4]",,1.0,1.0,1.0,1.0,1,0,0
1949,"[6.0, 8.0, 2.0, 0.0, 2.0, 2.0, 1.0]","[5.0, 8.0, 2.0, 0.0, 2.0, 2.0, 1.0]","Agent: 6.0 Monster: 8.0 Trees: [{2: 2}, {12: 2}, {17: 2}, {22: 1}]","Agent: 5.0 Monster: 8.0 Trees: [{2: 2}, {12: 2}, {17: 2}, {22: 1}]","[1, 0, 4]","[2, 2, 2]",1.0,0.07769362380107243,1.0,0.5,False,0,1
1949,"[6.0, 8.0, 2.0, 0.0, 2.0, 2.0, 1.0]","[5.0, 8.0, 2.0, 0.0, 2.0, 2.0, 1.0]","Agent: 6.0 Monster: 8.0 Trees: [{2: 2}, {12: 2}, {17: 2}, {22: 1}]","Agent: 5.0 Monster: 8.0 Trees: [{2: 2}, {12: 2}, {17: 2}, {22: 1}]","[1, 0, 4]","[1, 3, 2]",1.0,0.2997187126117448,1.0,0.7,False,0,1
1949,"[6.0, 8.0, 2.0, 0.0, 2.0, 2.0, 1.0]","[5.0, 8.0, 2.0, 0.0, 2.0, 2.0, 1.0]","Agent: 6.0 Monster: 8.0 Trees: [{2: 2}, {12: 2}, {17: 2}, {22: 1}]","Agent: 5.0 Monster: 8.0 Trees: [{2: 2}, {12: 2}, {17: 2}, {22: 1}]","[1, 0, 4]","[1, 2, 3]",1.0,0.28056672448292375,1.0,0.6,False,0,1
2020,"[20.0, 23.0, 1.0, 1.0, 0.0, 0.0, 1.0]","[5.0, 23.0, 1.0, 1.0, 0.0, 0.0, 1.0]","Agent: 20.0 Monster: 23.0 Trees: [{2: 1}, {7: 1}, {22: 1}]","Agent: 5.0 Monster: 23.0 Trees: [{2: 1}, {7: 1}, {22: 1}]","[1, 1, 1]","[2, 0, 2]",1.0,0.14334401239951453,1.0,0.1,False,0,1
2020,"[20.0, 23.0, 1.0, 1.0, 0.0, 0.0, 1.0]","[1.0, 23.0, 1.0, 1.0, 0.0, 0.0, 1.0]","Agent: 20.0 Monster: 23.0 Trees: [{2: 1}, {7: 1}, {22: 1}]","Agent: 1.0 Monster: 23.0 Trees: [{2: 1}, {7: 1}, {22: 1}]","[1, 1, 1]","[-1, 3, 0]",0.6666666666666666,0.14367695525288582,1.0,0.1,False,0,1
2020,"[20.0, 23.0, 1.0, 1.0, 0.0, 0.0, 1.0]","[0.0, 23.0, 1.0, 1.0, 0.0, 0.0, 1.0]","Agent: 20.0 Monster: 23.0 Trees: [{2: 1}, {7: 1}, {22: 1}]","Agent: 0.0 Monster: 23.0 Trees: [{2: 1}, {7: 1}, {22: 1}]","[1, 1, 1]","[3, 5, 4]",1.0,0.057946883141994476,1.0,0.1,False,0,1
2066,"[0.0, 3.0, 2.0, 0.0, 2.0, 2.0, 2.0]","[1.0, 3.0, 2.0, 0.0, 2.0, 2.0, 2.0]","Agent: 0.0 Monster: 3.0 Trees: [{2: 2}, {12: 2}, {17: 2}, {22: 2}]","Agent: 1.0 Monster: 3.0 Trees: [{2: 2}, {12: 2}, {17: 2}, {22: 2}]","[3, 3, 3]","[3, 0, -1]",0.6666666666666666,0.3199113756418228,0.25,0.5,False,0,1
2066,"[0.0, 3.0, 2.0, 0.0, 2.0, 2.0, 2.0]","[1.0, 3.0, 2.0, 0.0, 2.0, 2.0, 2.0]","Agent: 0.0 Monster: 3.0 Trees: [{2: 2}, {12: 2}, {17: 2}, {22: 2}]","Agent: 1.0 Monster: 3.0 Trees: [{2: 2}, {12: 2}, {17: 2}, {22: 2}]","[3, 3, 3]","[0, 3, 0]",1.0,0.2734253257513046,0.75,0.5,False,0,1
2066,"[0.0, 3.0, 2.0, 0.0, 2.0, 2.0, 2.0]","[0.0, 3.0, 2.0, 0.0, 2.0, 2.0, 2.0]","Agent: 0.0 Monster: 3.0 Trees: [{2: 2}, {12: 2}, {17: 2}, {22: 2}]","Agent: 0.0 Monster: 3.0 Trees: [{2: 2}, {12: 2}, {17: 2}, {22: 2}]","[3, 3, 3]","[1, 3, 5]",1.0,0.132592408452183,0.5833333333333334,0.6,False,0,1
2069,"[21.0, 23.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[16.0, 23.0, 0.0, 1.0, 1.0, 1.0, 0.0]","Agent: 21.0 Monster: 23.0 Trees: [{7: 1}, {12: 1}, {17: 1}]","Agent: 16.0 Monster: 23.0 Trees: [{7: 1}, {12: 1}, {17: 1}]","[1, 1, 4]","[2, 3, 0]",1.0,0.06332710928594072,1.0,0.4,False,0,1
2069,"[21.0, 23.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[11.0, 23.0, 0.0, 1.0, 1.0, 1.0, 0.0]","Agent: 21.0 Monster: 23.0 Trees: [{7: 1}, {12: 1}, {17: 1}]","Agent: 11.0 Monster: 23.0 Trees: [{7: 1}, {12: 1}, {17: 1}]","[1, 1, 4]","[3, 3, 5]",1.0,0.013273082673549652,1.0,0.4,False,0,1
