,Fact id,Fact,SF,Fact actions,Recourse,fidelity,uncertainty,num_cfs,sparsity,exceptionality,Value
90,84,"[16, 22, 10, 11, 12, 15, 16, 17]","[5, 22, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[1, 2, 2]",0.2821015814940135,0.9,False,1.0,0.2981965963931928,0
91,84,"[16, 22, 10, 11, 12, 15, 16, 17]","[1, 22, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[0, 4, 3]",0.07154056181510289,1.0,False,1.0,0.3523151195962256,0
92,84,"[16, 22, 10, 11, 12, 15, 16, 17]","[0, 22, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[3, 2, 3]",0.10750556861360867,1.0,False,1.0,0.062106043752317396,0
93,89,"[8, 1, 10, 11, 12, 15, 16, 17]","[22, 1, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[1, 2, -1]",0.1727755181491375,1.0,False,0.6666666666666666,0.058823529411764705,0
94,89,"[8, 1, 10, 11, 12, 15, 16, 17]","[24, 1, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[1, 0, -1]",0.13292841985821724,1.0,False,0.6666666666666666,0.5294117647058824,0
95,89,"[8, 1, 10, 11, 12, 15, 16, 17]","[20, 1, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[2, 2, 2]",0.2299619788924853,1.0,False,1.0,0.045761689291101054,0
96,89,"[8, 1, 10, 11, 12, 15, 16, 17]","[21, 1, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[4, 2, 2]",0.15161349127689996,1.0,False,1.0,0.36627450980392157,0
97,98,"[15, 21, 10, 11, 12, 15, 16, 17]","[0, 21, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[2, 1, 3]",0.19089129194617271,1.0,False,1.0,0.654305200341006,0
98,98,"[15, 21, 10, 11, 12, 15, 16, 17]","[1, 21, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[0, 3, -1]",0.22911284118890762,1.0,False,0.6666666666666666,0.5294117647058824,0
99,98,"[15, 21, 10, 11, 12, 15, 16, 17]","[5, 21, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[1, 2, 4]",0.22193520640333494,1.0,False,1.0,0.35720375106564367,0
100,101,"[16, 20, 10, 11, 12, 15, 16, 17]","[10, 20, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[-1, 3, 2]",0.05184834077954292,1.0,False,0.6666666666666666,0.01955500276395799,0
101,101,"[16, 20, 10, 11, 12, 15, 16, 17]","[12, 20, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[3, 0, 0]",0.029652266763150692,1.0,False,1.0,0.3554320987654321,0
102,101,"[16, 20, 10, 11, 12, 15, 16, 17]","[7, 20, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[-1, 3, 3]",0.04489241912961006,1.0,False,0.6666666666666666,0.5131578947368421,0
103,101,"[16, 20, 10, 11, 12, 15, 16, 17]","[16, 20, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[1, 2, 3]",0.2718127242599924,0.8,False,1.0,0.47864197530864194,0
104,101,"[16, 20, 10, 11, 12, 15, 16, 17]","[6, 20, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[1, 2, 3]",0.3612591375907262,0.8,False,1.0,0.06465237166991553,0
105,101,"[16, 20, 10, 11, 12, 15, 16, 17]","[22, 20, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[2, 3, 3]",0.08623515938719113,0.5,False,1.0,1.0,0
106,101,"[16, 20, 10, 11, 12, 15, 16, 17]","[13, 20, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[-1, 0, 4]",0.024917705915868282,1.0,False,0.6666666666666666,0.5231481481481481,0
107,102,"[10, 22, 10, 11, 12, 15, 16, 17]","[5, 22, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[1, 2, 4]",0.20116368805368742,1.0,False,1.0,0.3089492845652358,0
108,102,"[10, 22, 10, 11, 12, 15, 16, 17]","[10, 22, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[1, 2, 4]",0.21450823297103247,1.0,False,1.0,0.3033189399712133,0
109,102,"[10, 22, 10, 11, 12, 15, 16, 17]","[6, 22, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[1, 0, 0]",0.25543274482091266,1.0,False,1.0,0.29295040132779987,0
110,102,"[10, 22, 10, 11, 12, 15, 16, 17]","[8, 22, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[0, 0, 0]",0.11034122357765834,1.0,False,1.0,0.3513679052674561,0
111,102,"[10, 22, 10, 11, 12, 15, 16, 17]","[1, 22, 10, 11, 12, 15, 16, 17]","[1, 1, 1]","[2, 0, 3]",0.1510963998734951,1.0,False,1.0,0.3440860215053763,0
112,104,"[9, 3, 10, 11, 12, 15, 16, 17]","[22, 3, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[0, 2, 2]",0.059616935749848686,1.0,False,1.0,0.3888888888888889,0
113,104,"[9, 3, 10, 11, 12, 15, 16, 17]","[24, 3, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[3, 1, -1]",0.4247509781271219,1.0,False,0.6666666666666666,0.35119047619047616,0
114,104,"[9, 3, 10, 11, 12, 15, 16, 17]","[23, 3, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[-1, 4, 2]",0.0515119144693017,1.0,False,0.6666666666666666,0.5555555555555556,0
115,104,"[9, 3, 10, 11, 12, 15, 16, 17]","[19, 3, 10, 11, 12, 15, 16, 17]","[3, 3, 3]","[1, 0, 3]",0.29899205764134723,1.0,False,1.0,0.27777777777777773,0
116,110,"[6, 15, 10, 11, 12, 15, 16, 17]","[2, 15, 10, 11, 12, 15, 16, 17]","[1, 2, 2]","[4, 3, -1]",0.09412074647843838,1.0,False,0.6666666666666666,0.046052631578947366,0
117,111,"[15, 24, 10, 11, 12, 15, 16, 17]","[5, 24, 10, 11, 12, 15, 16, 17]","[0, 1, 0]","[4, 0, 2]",0.14500245451927185,0.5,False,1.0,0.04360461790180666,0
118,111,"[15, 24, 10, 11, 12, 15, 16, 17]","[15, 24, 10, 11, 12, 15, 16, 17]","[0, 1, 0]","[4, 0, 2]",0.15897977103789648,0.5,False,1.0,0.016388876629840485,0
119,111,"[15, 24, 10, 11, 12, 15, 16, 17]","[11, 24, 10, 11, 12, 15, 16, 17]","[0, 1, 0]","[4, 0, 2]",0.12774000192681947,0.5,False,1.0,0.347035874012751,0
120,111,"[15, 24, 10, 11, 12, 15, 16, 17]","[12, 24, 10, 11, 12, 15, 16, 17]","[0, 1, 0]","[-1, 2, 4]",0.057502735406160355,0.8,False,0.6666666666666666,0.006961676316515027,0
121,112,"[18, 9, 10, 11, 12, 15, 16, 17]","[11, 9, 10, 11, 12, 15, 16, 17]","[3, 0, 0]","[3, 0, 3]",0.2625920722881953,0.6,False,1.0,0.3947385947385947,0
122,112,"[18, 9, 10, 11, 12, 15, 16, 17]","[12, 9, 10, 11, 12, 15, 16, 17]","[3, 0, 0]","[3, 0, 3]",0.31891099611918133,0.6,False,1.0,0.22443112443112445,0
